feature_id,osm_id,osm_name,osm_ref,osm_fclass,entity_key,total_length_km,status,risk_level,current_high_cell_count,current_severe_cell_count,current_exposed_cell_count,current_exposed_length_km,24h_high_cell_count,24h_severe_cell_count,24h_exposed_cell_count,24h_exposed_length_km,48h_high_cell_count,48h_severe_cell_count,48h_exposed_cell_count,48h_exposed_length_km,72h_high_cell_count,72h_severe_cell_count,72h_exposed_cell_count,72h_exposed_length_km
OSM-ROAD-1258568906,1258568906,,,service,osm:1258568906:2883,0.099,NORMAL,LOW,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
OSM-ROAD-596065380,596065380,,,path,osm:596065380:2884,0.475,NORMAL,LOW,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
OSM-ROAD-1257784815,1257784815,,,service,osm:1257784815:2885,0.133,NORMAL,LOW,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
OSM-ROAD-1257784816,1257784816,,,service,osm:1257784816:2886,0.315,NORMAL,LOW,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
OSM-ROAD-1258565246,1258565246,,,unclassified,osm:1258565246:2887,0.206,NORMAL,LOW,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
OSM-ROAD-366218777,366218777,,,secondary,osm:366218777:2888,1.515,HIGH RISK,HIGH,1,0,1,0.16,1,0,1,0.16,1,0,1,0.16,1,0,1,0.16
OSM-ROAD-1258565235,1258565235,,,path,osm:1258565235:2889,0.192,NORMAL,LOW,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
OSM-ROAD-1258565231,1258565231,,,path,osm:1258565231:2890,0.078,NORMAL,LOW,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
OSM-ROAD-1258565230,1258565230,,,path,osm:1258565230:2891,0.062,NORMAL,LOW,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
OSM-ROAD-1258565234,1258565234,,,path,osm:1258565234:2892,0.055,NORMAL,LOW,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
OSM-ROAD-1263428696,1263428696,,,path,osm:1263428696:2893,0.035,NORMAL,LOW,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
OSM-ROAD-579873399,579873399,,,unclassified,osm:579873399:2894,3.723,HIGH RISK,HIGH,2,0,2,3.723,2,0,2,3.723,2,0,2,3.723,2,0,2,3.723
OSM-ROAD-1240103675,1240103675,,,path,osm:1240103675:2895,0.342,NORMAL,LOW,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
